(2023-05-14 19:17:16,217), [INFO], cron, Cron job for resend_unsent_mails started at 2023-05-14 19:17:16
(2023-05-14 19:17:19,638), [INFO], cron, Order 21 - admin2 - 09/05/2023 22:56:23 mail sent successfully
(2023-05-14 19:17:22,363), [INFO], cron, Order 22 - admin - 10/05/2023 21:44:15 mail sent successfully
(2023-05-14 19:17:25,374), [INFO], cron, Order 23 - admin - 14/05/2023 16:42:41 mail sent successfully
(2023-05-14 19:17:28,550), [INFO], cron, Order 24 - admin - 14/05/2023 16:43:20 mail sent successfully
(2023-05-14 19:20:30,165), [INFO], cron, Cron job for resend_unsent_mails started at 2023-05-14 19:20:30
(2023-05-14 19:21:34,542), [INFO], cron, Cron job for resend_unsent_mails started at 2023-05-14 19:21:34
(2023-05-14 19:22:16,215), [INFO], cron, Cron job for resend_unsent_mails started at 2023-05-14 19:22:16
(2023-05-14 19:22:37,752), [INFO], cron, Cron job for resend_unsent_mails started at 2023-05-14 19:22:37
(2023-05-14 19:22:38,104), [INFO], cron, RegisterApplication 5 - adssaddasdas - 11/05/2023 16:21:32 mail sent successfully
(2023-05-14 19:22:38,383), [INFO], cron, RegisterApplication 14 - Tester - 13/05/2023 18:28:33 mail sent successfully
(2023-05-14 19:22:38,655), [INFO], cron, RegisterApplication 15 - Ace - 13/05/2023 18:30:57 mail sent successfully
